constructorId,year,driverId,forename,surname,total_points,num_races
22,1994,30,Michael,Schumacher,92,14
3,1994,71,Damon,Hill,91,16
6,1994,55,Jean,Alesi,24,14
17,1994,22,Rubens,Barrichello,19,16
25,1994,79,Ukyo,Katayama,5,16
15,1994,91,Karl,Wendlinger,4,4
32,1994,65,Johnny,Herbert,0,13
18,1994,94,Pierluigi,Martini,4,16
33,1994,100,Érik,Comas,2,15
32,1994,83,Pedro,Lamy,0,4
27,1994,44,Olivier,Panis,9,16
31,1994,101,David,Brabham,0,16
3,1994,102,Ayrton,Senna,0,3
1,1994,84,Martin,Brundle,16,16
17,1994,56,Eddie,Irvine,6,13
22,1994,50,Jos,Verstappen,10,10
27,1994,103,Éric,Bernard,4,13
25,1994,87,Mark,Blundell,8,16
29,1994,104,Christian,Fittipaldi,6,16
15,1994,49,Heinz-Harald,Frentzen,7,16
1,1994,57,Mika,Häkkinen,26,15
18,1994,105,Michele,Alboreto,1,16
29,1994,81,Gianni,Morbidelli,3,16
6,1994,77,Gerhard,Berger,41,16
33,1994,106,Olivier,Beretta,0,10
30,1994,92,Bertrand,Gachot,0,16
31,1994,107,Roland,Ratzenberger,0,3
30,1994,108,Paul,Belmondo,0,16
17,1994,88,Aguri,Suzuki,0,1
6,1994,78,Nicola,Larini,6,2
17,1994,110,Andrea,"de Cesaris",3,2
22,1994,109,Jyrki,Järvilehto,1,6
32,1994,70,Alessandro,Zanardi,0,10
3,1994,14,David,Coulthard,14,8
31,1994,85,Andrea,Montermini,0,1
15,1994,110,Andrea,"de Cesaris",1,9
31,1994,111,Jean-Marc,Gounon,0,7
3,1994,95,Nigel,Mansell,13,4
1,1994,112,Philippe,Alliot,0,1
32,1994,113,Philippe,Adams,0,2
33,1994,112,Philippe,Alliot,0,1
33,1994,114,Yannick,Dalmas,0,2
27,1994,65,Johnny,Herbert,0,1
32,1994,103,Éric,Bernard,0,1
31,1994,93,Domenico,Schiattarella,0,2
33,1994,115,Hideki,Noda,0,3
32,1994,63,Mika,Salo,0,2
27,1994,116,Franck,Lagorce,0,2
22,1994,65,Johnny,Herbert,0,2
31,1994,89,Taki,Inoue,0,1
15,1994,109,Jyrki,Järvilehto,0,2
33,1994,98,Jean-Denis,Délétraz,0,1
22,1995,30,Michael,Schumacher,102,17
3,1995,14,David,Coulthard,49,17
6,1995,77,Gerhard,Berger,31,17
1,1995,57,Mika,Häkkinen,17,16
6,1995,55,Jean,Alesi,42,17
1,1995,87,Mark,Blundell,13,15
25,1995,63,Mika,Salo,5,17
27,1995,88,Aguri,Suzuki,1,6
30,1995,85,Andrea,Montermini,0,17
28,1995,64,Pedro,Diniz,0,17
29,1995,81,Gianni,Morbidelli,5,10
29,1995,89,Taki,Inoue,0,17
18,1995,69,Luca,Badoer,0,17
28,1995,90,Roberto,Moreno,0,17
15,1995,91,Karl,Wendlinger,0,6
3,1995,71,Damon,Hill,69,17
22,1995,65,Johnny,Herbert,45,17
30,1995,92,Bertrand,Gachot,0,11
17,1995,22,Rubens,Barrichello,11,17
31,1995,50,Jos,Verstappen,0,5
25,1995,79,Ukyo,Katayama,0,16
17,1995,56,Eddie,Irvine,10,17
31,1995,93,Domenico,Schiattarella,0,5
15,1995,49,Heinz-Harald,Frentzen,15,17
27,1995,44,Olivier,Panis,16,17
18,1995,94,Pierluigi,Martini,0,9
1,1995,95,Nigel,Mansell,0,2
27,1995,84,Martin,Brundle,7,11
15,1995,96,Jean-Christophe,Boullion,3,11
29,1995,97,Massimiliano,Papis,0,7
30,1995,86,Giovanni,Lavaggi,0,4
18,1995,83,Pedro,Lamy,1,8
30,1995,98,Jean-Denis,Délétraz,0,2
25,1995,99,Gabriele,Tarquini,0,1
1,1995,76,Jan,Magnussen,0,1
3,1996,71,Damon,Hill,97,16
3,1996,35,Jacques,Villeneuve,78,16
6,1996,56,Eddie,Irvine,11,16
22,1996,77,Gerhard,Berger,21,16
1,1996,57,Mika,Häkkinen,31,16
25,1996,63,Mika,Salo,5,16
27,1996,44,Olivier,Panis,13,16
15,1996,49,Heinz-Harald,Frentzen,7,16
29,1996,73,Ricardo,Rosset,0,16
27,1996,64,Pedro,Diniz,2,16
25,1996,79,Ukyo,Katayama,0,16
18,1996,83,Pedro,Lamy,0,16
6,1996,30,Michael,Schumacher,59,16
18,1996,21,Giancarlo,Fisichella,0,8
17,1996,22,Rubens,Barrichello,14,16
1,1996,14,David,Coulthard,18,16
29,1996,50,Jos,Verstappen,1,16
22,1996,55,Jean,Alesi,47,16
17,1996,84,Martin,Brundle,8,16
15,1996,65,Johnny,Herbert,4,16
28,1996,69,Luca,Badoer,0,10
28,1996,85,Andrea,Montermini,0,10
18,1996,58,Tarso,Marques,0,2
18,1996,86,Giovanni,Lavaggi,0,6
1,1997,14,David,Coulthard,36,17
6,1997,30,Michael,Schumacher,78,17
1,1997,57,Mika,Häkkinen,27,17
22,1997,77,Gerhard,Berger,27,14
20,1997,44,Olivier,Panis,16,10
15,1997,78,Nicola,Larini,1,5
20,1997,75,Shinji,Nakano,2,17
3,1997,49,Heinz-Harald,Frentzen,42,17
18,1997,15,Jarno,Trulli,0,7
21,1997,64,Pedro,Diniz,2,17
24,1997,22,Rubens,Barrichello,6,17
25,1997,63,Mika,Salo,2,17
24,1997,76,Jan,Magnussen,0,17
22,1997,55,Jean,Alesi,36,17
18,1997,79,Ukyo,Katayama,0,17
17,1997,21,Giancarlo,Fisichella,20,17
25,1997,50,Jos,Verstappen,0,17
17,1997,23,Ralf,Schumacher,13,17
3,1997,35,Jacques,Villeneuve,81,17
6,1997,56,Eddie,Irvine,24,17
15,1997,65,Johnny,Herbert,15,17
21,1997,71,Damon,Hill,7,17
26,1997,80,Vincenzo,Sospiri,0,1
26,1997,73,Ricardo,Rosset,0,1
15,1997,81,Gianni,Morbidelli,0,8
22,1997,25,Alexander,Wurz,4,3
20,1997,15,Jarno,Trulli,3,7
15,1997,82,Norberto,Fontana,0,4
18,1997,58,Tarso,Marques,0,10
1,1998,57,Mika,Häkkinen,100,16
1,1998,14,David,Coulthard,56,16
3,1998,49,Heinz-Harald,Frentzen,17,16
6,1998,56,Eddie,Irvine,47,16
3,1998,35,Jacques,Villeneuve,21,16
15,1998,65,Johnny,Herbert,1,16
22,1998,25,Alexander,Wurz,17,16
17,1998,71,Damon,Hill,20,16
20,1998,44,Olivier,Panis,0,16
22,1998,21,Giancarlo,Fisichella,16,16
15,1998,55,Jean,Alesi,9,16
20,1998,15,Jarno,Trulli,1,16
25,1998,73,Ricardo,Rosset,0,13
21,1998,63,Mika,Salo,3,16
18,1998,74,Esteban,Tuero,0,16
18,1998,75,Shinji,Nakano,0,16
6,1998,30,Michael,Schumacher,86,16
21,1998,64,Pedro,Diniz,3,16
17,1998,23,Ralf,Schumacher,14,16
24,1998,76,Jan,Magnussen,1,7
25,1998,68,Toranosuke,Takagi,0,16
24,1998,22,Rubens,Barrichello,4,16
24,1998,50,Jos,Verstappen,0,9
6,1999,56,Eddie,Irvine,74,16
17,1999,49,Heinz-Harald,Frentzen,54,16
3,1999,23,Ralf,Schumacher,35,16
22,1999,21,Giancarlo,Fisichella,13,16
24,1999,22,Rubens,Barrichello,21,16
21,1999,37,Pedro,"de la Rosa",1,16
21,1999,68,Toranosuke,Takagi,0,16
6,1999,30,Michael,Schumacher,44,10
16,1999,41,Ricardo,Zonta,0,13
18,1999,69,Luca,Badoer,0,15
22,1999,25,Alexander,Wurz,3,16
15,1999,64,Pedro,Diniz,3,16
18,1999,48,Marc,Gené,1,16
20,1999,15,Jarno,Trulli,7,16
20,1999,44,Olivier,Panis,2,16
1,1999,57,Mika,Häkkinen,76,16
3,1999,70,Alessandro,Zanardi,0,16
1,1999,14,David,Coulthard,48,16
16,1999,35,Jacques,Villeneuve,0,16
17,1999,71,Damon,Hill,7,16
15,1999,55,Jean,Alesi,2,16
24,1999,65,Johnny,Herbert,15,16
18,1999,72,Stéphane,Sarrazin,0,1
16,1999,63,Mika,Salo,0,3
6,1999,63,Mika,Salo,10,6
6,2000,30,Michael,Schumacher,108,17
6,2000,22,Rubens,Barrichello,62,17
3,2000,23,Ralf,Schumacher,24,17
16,2000,35,Jacques,Villeneuve,17,17
22,2000,21,Giancarlo,Fisichella,18,17
16,2000,41,Ricardo,Zonta,3,17
22,2000,25,Alexander,Wurz,2,17
18,2000,48,Marc,Gené,0,17
20,2000,2,Nick,Heidfeld,0,16
15,2000,63,Mika,Salo,6,17
3,2000,18,Jenson,Button,12,17
15,2000,64,Pedro,Diniz,0,17
18,2000,60,Gastón,Mazzacane,0,17
17,2000,49,Heinz-Harald,Frentzen,11,17
17,2000,15,Jarno,Trulli,6,17
20,2000,55,Jean,Alesi,0,17
1,2000,57,Mika,Häkkinen,89,17
21,2000,50,Jos,Verstappen,5,17
1,2000,14,David,Coulthard,73,17
21,2000,37,Pedro,"de la Rosa",2,17
19,2000,56,Eddie,Irvine,4,16
19,2000,65,Johnny,Herbert,0,17
19,2000,54,Luciano,Burti,0,1
6,2001,30,Michael,Schumacher,123,17
1,2001,14,David,Coulthard,65,17
6,2001,22,Rubens,Barrichello,56,17
15,2001,2,Nick,Heidfeld,12,17
17,2001,49,Heinz-Harald,Frentzen,6,10
15,2001,8,Kimi,Räikkönen,9,17
16,2001,44,Olivier,Panis,5,17
19,2001,54,Luciano,Burti,0,4
20,2001,55,Jean,Alesi,4,12
21,2001,50,Jos,Verstappen,1,17
19,2001,56,Eddie,Irvine,6,17
18,2001,4,Fernando,Alonso,0,17
22,2001,21,Giancarlo,Fisichella,8,17
22,2001,18,Jenson,Button,2,17
3,2001,31,Juan,"Pablo Montoya",31,17
17,2001,15,Jarno,Trulli,12,17
1,2001,57,Mika,Häkkinen,37,17
3,2001,23,Ralf,Schumacher,49,17
16,2001,35,Jacques,Villeneuve,12,17
18,2001,58,Tarso,Marques,0,14
21,2001,59,Enrique,Bernoldi,0,17
20,2001,60,Gastón,Mazzacane,0,4
20,2001,54,Luciano,Burti,0,10
19,2001,37,Pedro,"de la Rosa",3,13
17,2001,41,Ricardo,Zonta,0,2
17,2001,55,Jean,Alesi,1,5
20,2001,49,Heinz-Harald,Frentzen,0,5
20,2001,61,Tomáš,Enge,0,3
18,2001,62,Alex,Yoong,0,3
6,2002,30,Michael,Schumacher,144,17
3,2002,31,Juan,"Pablo Montoya",50,17
1,2002,8,Kimi,Räikkönen,24,17
19,2002,56,Eddie,Irvine,8,17
18,2002,17,Mark,Webber,2,17
7,2002,63,Mika,Salo,2,17
18,2002,62,Alex,Yoong,0,13
19,2002,37,Pedro,"de la Rosa",0,17
1,2002,14,David,Coulthard,41,17
16,2002,35,Jacques,Villeneuve,4,17
21,2002,49,Heinz-Harald,Frentzen,2,12
21,2002,59,Enrique,Bernoldi,0,12
17,2002,11,Takuma,Sato,2,17
4,2002,15,Jarno,Trulli,9,17
6,2002,22,Rubens,Barrichello,77,17
3,2002,23,Ralf,Schumacher,42,17
17,2002,21,Giancarlo,Fisichella,7,17
15,2002,13,Felipe,Massa,4,16
15,2002,2,Nick,Heidfeld,7,17
4,2002,18,Jenson,Button,14,17
16,2002,44,Olivier,Panis,3,17
7,2002,66,Allan,McNish,0,17
18,2002,19,Anthony,Davidson,0,2
15,2002,49,Heinz-Harald,Frentzen,0,1
1,2003,14,David,Coulthard,51,16
3,2003,31,Juan,"Pablo Montoya",82,16
1,2003,8,Kimi,Räikkönen,91,16
6,2003,30,Michael,Schumacher,93,16
4,2003,15,Jarno,Trulli,33,16
15,2003,49,Heinz-Harald,Frentzen,13,16
4,2003,4,Fernando,Alonso,55,16
3,2003,23,Ralf,Schumacher,58,15
16,2003,35,Jacques,Villeneuve,6,15
16,2003,18,Jenson,Button,17,16
18,2003,50,Jos,Verstappen,0,16
17,2003,21,Giancarlo,Fisichella,12,16
19,2003,42,Antônio,Pizzonia,0,11
7,2003,44,Olivier,Panis,6,16
15,2003,2,Nick,Heidfeld,6,16
18,2003,51,Justin,Wilson,0,11
19,2003,17,Mark,Webber,17,16
7,2003,43,Cristiano,"da Matta",10,16
17,2003,52,Ralph,Firman,1,14
6,2003,22,Rubens,Barrichello,65,16
18,2003,53,Nicolas,Kiesa,0,5
19,2003,51,Justin,Wilson,1,5
17,2003,47,Zsolt,Baumgartner,0,2
3,2003,48,Marc,Gené,4,1
16,2003,11,Takuma,Sato,3,1
6,2004,30,Michael,Schumacher,148,18
6,2004,22,Rubens,Barrichello,114,18
4,2004,4,Fernando,Alonso,59,18
3,2004,23,Ralf,Schumacher,24,12
3,2004,31,Juan,"Pablo Montoya",58,18
16,2004,18,Jenson,Button,85,18
4,2004,15,Jarno,Trulli,46,15
1,2004,14,David,Coulthard,24,18
16,2004,11,Takuma,Sato,34,18
15,2004,21,Giancarlo,Fisichella,22,18
19,2004,32,Christian,Klien,3,18
7,2004,43,Cristiano,"da Matta",3,12
7,2004,44,Olivier,Panis,6,17
17,2004,45,Giorgio,Pantano,0,14
15,2004,13,Felipe,Massa,12,18
17,2004,2,Nick,Heidfeld,3,18
18,2004,46,Gianmaria,Bruni,0,18
19,2004,17,Mark,Webber,7,18
18,2004,47,Zsolt,Baumgartner,1,18
1,2004,8,Kimi,Räikkönen,45,18
17,2004,10,Timo,Glock,2,4
3,2004,48,Marc,Gené,0,2
3,2004,42,Antônio,Pizzonia,6,4
7,2004,41,Ricardo,Zonta,0,5
4,2004,35,Jacques,Villeneuve,0,3
7,2004,15,Jarno,Trulli,0,2
4,2005,21,Giancarlo,Fisichella,58,19
6,2005,22,Rubens,Barrichello,38,19
4,2005,4,Fernando,Alonso,133,19
9,2005,14,David,Coulthard,24,19
3,2005,17,Mark,Webber,36,19
1,2005,31,Juan,"Pablo Montoya",60,17
9,2005,32,Christian,Klien,9,15
1,2005,8,Kimi,Räikkönen,112,19
7,2005,15,Jarno,Trulli,43,19
15,2005,13,Felipe,Massa,11,19
16,2005,18,Jenson,Button,37,17
7,2005,23,Ralf,Schumacher,45,18
15,2005,35,Jacques,Villeneuve,9,19
16,2005,11,Takuma,Sato,1,16
17,2005,39,Narain,Karthikeyan,5,19
17,2005,33,Tiago,Monteiro,7,19
18,2005,40,Patrick,Friesacher,3,11
6,2005,30,Michael,Schumacher,62,19
3,2005,2,Nick,Heidfeld,28,14
18,2005,27,Christijan,Albers,4,19
16,2005,19,Anthony,Davidson,0,1
1,2005,37,Pedro,"de la Rosa",4,1
1,2005,25,Alexander,Wurz,6,1
9,2005,24,Vitantonio,Liuzzi,1,4
7,2005,41,Ricardo,Zonta,0,1
18,2005,38,Robert,Doornbos,0,8
3,2005,42,Antônio,Pizzonia,2,5
4,2006,4,Fernando,Alonso,134,18
6,2006,30,Michael,Schumacher,121,18
1,2006,8,Kimi,Räikkönen,65,18
11,2006,18,Jenson,Button,56,18
1,2006,31,Juan,"Pablo Montoya",26,10
3,2006,17,Mark,Webber,7,18
3,2006,3,Nico,Rosberg,4,18
9,2006,32,Christian,Klien,2,15
6,2006,13,Felipe,Massa,80,18
9,2006,14,David,Coulthard,14,18
5,2006,24,Vitantonio,Liuzzi,1,18
2,2006,2,Nick,Heidfeld,23,18
5,2006,26,Scott,Speed,0,18
7,2006,23,Ralf,Schumacher,20,18
11,2006,22,Rubens,Barrichello,30,18
7,2006,15,Jarno,Trulli,15,18
13,2006,33,Tiago,Monteiro,0,14
8,2006,11,Takuma,Sato,0,18
8,2006,34,Yuji,Ide,0,4
2,2006,35,Jacques,Villeneuve,7,12
4,2006,21,Giancarlo,Fisichella,72,18
13,2006,27,Christijan,Albers,0,14
8,2006,36,Franck,Montagny,0,7
1,2006,37,Pedro,"de la Rosa",19,8
8,2006,29,Sakon,Yamamoto,0,7
2,2006,9,Robert,Kubica,6,6
14,2006,27,Christijan,Albers,0,4
14,2006,33,Tiago,Monteiro,0,4
9,2006,38,Robert,Doornbos,0,3
6,2007,8,Kimi,Räikkönen,110,17
1,2007,4,Fernando,Alonso,109,17
1,2007,1,Lewis,Hamilton,109,17
2,2007,2,Nick,Heidfeld,61,17
4,2007,21,Giancarlo,Fisichella,21,17
6,2007,13,Felipe,Massa,94,17
3,2007,3,Nico,Rosberg,20,17
7,2007,23,Ralf,Schumacher,5,17
7,2007,15,Jarno,Trulli,8,17
4,2007,5,Heikki,Kovalainen,30,17
11,2007,22,Rubens,Barrichello,0,17
8,2007,11,Takuma,Sato,4,17
9,2007,17,Mark,Webber,10,17
5,2007,24,Vitantonio,Liuzzi,3,17
11,2007,18,Jenson,Button,6,17
8,2007,19,Anthony,Davidson,0,17
12,2007,16,Adrian,Sutil,1,17
3,2007,25,Alexander,Wurz,13,16
9,2007,14,David,Coulthard,14,17
2,2007,9,Robert,Kubica,39,16
5,2007,26,Scott,Speed,0,10
12,2007,27,Christijan,Albers,0,9
2,2007,20,Sebastian,Vettel,1,1
12,2007,28,Markus,Winkelhock,0,1
5,2007,20,Sebastian,Vettel,5,7
12,2007,29,Sakon,Yamamoto,0,7
3,2007,6,Kazuki,Nakajima,0,1
1,2008,1,Lewis,Hamilton,98,18
2,2008,2,Nick,Heidfeld,60,18
3,2008,3,Nico,Rosberg,17,18
4,2008,4,Fernando,Alonso,61,18
1,2008,5,Heikki,Kovalainen,53,18
3,2008,6,Kazuki,Nakajima,9,18
5,2008,7,Sébastien,Bourdais,4,18
6,2008,8,Kimi,Räikkönen,75,18
